mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,0,30,10546,1,31,-0.053094,0.068067,0.676468
1,0,30,10546,1,31,-0.140808,-0.366420,1.716588
5,0,30,10546,1,31,-0.346608,-0.079154,0.931919
7,0,30,10546,1,31,-0.248458,-0.133072,0.979225
12,0,30,10546,1,31,0.241317,-0.255024,1.545505
13,0,30,10546,1,31,-0.207282,-0.010498,0.955762
14,0,30,10546,1,31,-0.229225,-0.034888,0.917865
16,0,30,10546,1,31,-0.317453,-0.145537,0.877173
19,0,30,10546,1,31,0.223515,0.030988,0.761501
22,0,30,10546,1,31,-0.118674,0.070232,0.679259
23,0,30,10546,1,31,-0.132083,0.068089,0.706646
24,0,30,10546,1,31,-0.133195,0.045117,0.678490
28,0,30,10546,1,31,0.379310,-0.334967,1.253702
31,0,30,10546,1,31,0.301048,-0.132924,1.350536
35,0,30,10546,1,31,0.160502,-0.048184,1.629112
41,0,30,10546,1,31,0.272191,-0.266080,1.314126
42,0,30,10546,1,31,-0.342088,-0.319033,1.537073
44,0,30,10546,1,31,0.161409,0.072033,0.754338
45,0,30,10546,1,31,0.272270,-0.340308,1.265557
51,0,30,10546,1,31,0.276084,-0.047304,0.782349
54,0,30,10546,1,31,0.133242,0.077407,0.591622
55,0,30,10546,1,31,0.150958,0.072818,0.583753
57,0,30,10546,1,31,-0.216684,-0.327905,1.642150
58,0,30,10546,1,31,-0.203015,0.076562,0.581520
61,0,30,10546,1,31,-0.288007,-0.040704,0.912938
62,0,30,10546,1,31,0.002542,-0.102435,1.874639
64,0,30,10546,1,31,0.138829,0.045308,0.932354
66,0,30,10546,1,31,-0.251977,0.026971,0.842173
70,0,30,10546,1,31,0.289351,-0.092842,0.851738
72,0,30,10546,1,31,0.200692,-0.120843,1.358900
73,0,30,10546,1,31,0.203202,-0.147956,1.399816
77,53,123,10546,1,31,0.059043,-0.259703,1.876419
80,0,30,10546,1,31,0.317344,-0.256597,1.257029
81,0,30,10546,1,31,0.298738,-0.286081,1.226458
82,0,30,10546,1,31,-0.215504,-0.053861,0.979944
85,0,30,10546,1,31,0.134262,0.080980,0.546525
86,0,30,10546,1,31,-0.299975,0.008024,0.952567
87,0,30,10546,1,31,0.180642,-0.021038,1.266611
92,0,30,10546,1,31,0.132991,0.091055,0.443762
94,0,30,10546,1,31,0.248269,-0.244606,1.383005
98,0,30,10546,1,31,0.327415,-0.035060,1.232835
100,0,30,10546,1,31,0.222870,-0.005421,0.803408
102,0,30,10546,1,31,0.184616,0.053835,0.830049
104,0,30,10546,1,31,0.184671,0.026772,0.786732
105,0,30,10546,1,31,-0.037125,0.091402,0.447213
112,0,30,10546,1,31,0.262840,-0.143530,1.292349
117,0,30,10546,1,31,-0.009053,0.054717,0.853861
119,0,30,10546,1,31,0.349915,-0.246844,1.239381
123,0,30,10546,1,31,-0.145394,0.033471,0.676215
127,0,30,10546,1,31,0.275628,0.018960,1.426572
130,0,30,10546,1,31,0.035453,-0.147284,1.894938
133,0,30,10546,1,31,0.318427,-0.040521,1.051792
135,0,30,10546,1,31,0.130141,0.064145,0.685116
137,0,30,10546,1,31,-0.142268,0.049109,0.624146
138,0,30,10546,1,31,0.056276,0.085473,0.411133
139,0,30,10546,1,31,0.052078,0.079817,0.416724
141,0,30,10546,1,31,0.328691,-0.105568,1.155598
144,0,30,10546,1,31,0.096324,0.072285,0.621616
145,0,30,10546,1,31,0.074728,0.072323,0.601127
146,0,30,10546,1,31,0.103283,0.068602,0.685116
147,0,30,10546,1,31,0.074111,0.067357,0.644567
149,0,30,10546,1,31,0.167258,0.046942,0.852824
152,0,30,10546,1,31,1.405966,-3.400556,16.720524
156,0,30,10546,1,31,0.340176,-0.030589,0.944275
158,0,30,10546,1,31,-0.280393,-0.060205,0.911993
160,0,30,10546,1,31,0.361313,-0.182959,1.369716
161,0,30,10546,1,31,0.278148,-0.164395,1.241866
162,0,30,10546,1,31,0.285592,-0.181034,1.270917
165,0,30,10546,1,31,-0.127692,0.073696,0.671342
166,0,30,10546,1,31,0.103690,-0.178072,1.877949
167,0,30,10546,1,31,0.010712,-0.306003,1.868535
171,0,30,10546,1,31,-0.173413,0.068797,0.636012
174,0,30,10546,1,31,0.047186,0.091633,0.461589
176,0,30,10546,1,31,0.283048,-0.224685,1.242446
177,0,30,10546,1,31,-0.072815,0.087852,0.427058
180,0,30,10546,0,30,0.057177,0.081294,0.500390
189,0,30,10546,0,30,0.084924,0.077224,0.564718
192,0,30,10546,0,30,-0.108136,0.095361,0.485178
197,0,30,10546,0,30,-0.139111,0.047287,0.611351
201,0,30,10546,0,30,-0.201357,0.075735,0.578166
204,0,30,10546,0,30,0.015723,0.082770,0.543114
206,0,30,10546,0,30,-0.342292,-0.039520,0.933368
207,0,30,10546,0,30,-0.152536,0.079019,0.562695
211,0,30,10546,0,30,0.158590,0.073440,0.515965
213,0,30,10546,0,30,-0.146995,0.033448,0.684322
217,0,30,10546,0,30,0.059640,0.091568,0.519926
219,0,30,10546,0,30,-0.175019,0.068394,0.516596
220,0,30,10546,0,30,0.129101,0.077959,0.538812
224,0,30,10546,0,30,0.149773,0.064910,0.681457
226,0,30,10546,0,30,-0.195026,0.057651,0.630814
227,0,30,10546,0,30,-0.180544,0.062914,0.645715
228,0,30,10546,0,30,-0.156724,0.070656,0.687691
236,0,30,10546,0,30,0.105676,0.067790,0.692886
237,0,30,10546,0,30,-0.137296,0.063659,0.707546
238,0,30,10546,0,30,0.009840,0.065840,0.605031
239,0,30,10546,0,30,-0.155108,0.029241,0.819883
240,0,30,10546,0,30,-0.300194,0.049713,0.849934
242,0,30,10546,0,30,-0.178905,0.064941,0.645382
255,0,30,10546,0,30,-0.233612,0.026021,0.978542
257,0,30,10546,1,31,0.022029,0.064934,0.674401
259,0,30,10546,2,32,-0.237066,-0.059201,0.969307
260,0,30,10546,2,32,-0.238940,-0.019197,0.929807
261,0,30,10546,2,32,-0.287971,-0.047317,0.937878
262,0,30,10546,2,32,-0.000519,0.064508,0.675222
266,11,41,10546,2,32,-0.238602,-0.060421,0.787810
267,0,30,10546,2,32,-0.265785,-0.061864,0.910993
271,0,30,10546,2,32,0.295837,0.022592,0.881136
274,0,30,10546,2,32,0.197940,0.064040,0.742319
275,0,30,10546,2,32,0.135868,0.082502,0.773988
276,0,30,10546,2,32,0.238082,0.028755,0.827179
277,0,30,10546,2,32,0.209078,0.030709,0.797801
279,0,30,10546,2,32,0.040152,0.090300,0.568900
280,0,30,10546,2,32,-0.178681,-0.075168,0.906289
283,0,30,10546,2,32,0.019483,0.067199,0.649261
285,0,30,10546,2,32,-0.263775,0.026507,0.885395
286,0,30,10546,2,32,-0.137827,0.070079,0.674663
303,11,41,10546,2,32,-0.213527,0.081551,0.718358
308,0,30,10546,3,33,-0.363410,-0.311071,1.485904
309,0,30,10546,3,33,-0.192507,-0.099195,0.962201
310,0,30,10546,3,33,0.361037,-0.367435,1.349582
311,0,30,10546,3,33,-0.194817,0.017338,1.236388
312,0,30,10546,3,33,0.194597,0.023451,0.910970
328,1,31,10546,3,33,0.052402,0.064019,0.469006
333,0,30,10546,3,33,-0.298272,-0.125173,0.973349
334,0,30,10546,3,33,-0.322808,-0.173920,1.040126
339,0,30,10546,3,33,-0.456657,-0.354541,1.562304
342,0,30,10546,3,33,0.152107,-0.166597,1.036991
347,0,30,10546,3,33,0.098452,0.062204,0.652509
348,0,30,10546,3,33,-0.000347,0.058800,0.700942
352,0,30,10546,3,33,-0.236105,-0.153578,1.485405
353,11,41,10546,3,33,-0.455390,-0.274512,1.508299
358,0,30,10546,3,33,-0.266579,-0.062709,0.919147
359,0,30,10546,3,33,0.203102,-0.010200,0.799733
361,0,30,10546,3,33,0.208761,0.045317,0.910412
362,0,30,10546,3,33,0.129855,0.046034,0.618379
363,21,59,10546,3,33,-0.281728,-0.163629,1.110531
366,0,30,10546,3,33,0.099120,0.057895,0.566649
370,0,30,10546,3,33,0.028277,0.075664,0.615058
314,0,30,10546,3,33,0.337131,-0.277184,1.349814
315,0,30,10546,3,33,-0.221264,-0.096673,0.933236
316,0,30,10546,3,33,-0.249450,-0.099261,0.946244
317,0,30,10546,3,33,-0.198620,-0.156825,1.041653
