mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.046797,-0.021384,-0.122218
21,107,1512795996.056600,64,48,1001,-0.063014,-0.028274,-0.162057
20,105,1512795995.653100,64,48,1003,-0.059179,-0.025976,-0.153447
23,111,1512795996.871600,64,48,1004,-0.043742,-0.022071,-0.143147
49,154,1512796005.511600,64,48,926,-0.013206,-0.026020,-0.122644
48,153,1512796005.315900,64,48,968,-0.016425,-0.020371,-0.117371
50,156,1512796005.917500,64,48,954,-0.013555,-0.009155,-0.107705
63,180,1512796010.743800,64,48,1002,-0.001004,0.001371,0.018226
64,182,1512796011.143500,64,48,1002,-0.002379,0.001325,0.014135
65,184,1512796011.535000,64,48,1003,-0.003355,0.000298,0.008820
114,268,1512796028.573400,64,48,981,-0.052853,-0.042119,-0.294796
113,267,1512796028.375400,64,48,981,-0.052977,-0.043259,-0.300161
115,271,1512796029.200300,64,48,999,-0.049850,-0.038561,-0.268334
118,281,1512796031.247800,64,48,1002,-0.040840,-0.026629,-0.179445
120,293,1512796033.671400,64,48,1003,-0.031340,-0.009590,-0.051749
122,298,1512796034.675600,64,48,1001,-0.025131,-0.002025,0.014685
123,300,1512796035.090900,64,48,1003,-0.021174,0.000626,0.034404
124,301,1512796035.287400,64,48,1001,-0.003077,0.002765,0.048051
