mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
1,70,1512795988.494500,64,48,1922,-0.014016,-0.013993,-0.034091
12,89,1512795992.407200,64,48,1004,-0.013449,-0.009026,-0.037099
18,101,1512795994.838800,64,48,1003,-0.055304,-0.026741,-0.154278
16,94,1512795993.439700,64,48,1005,-0.027549,-0.016385,-0.086590
15,92,1512795993.029300,64,48,1000,-0.018412,-0.015223,-0.064746
17,97,1512795994.026800,64,48,1001,-0.037157,-0.021785,-0.113976
20,105,1512795995.653100,64,48,1003,-0.073719,-0.031662,-0.191483
19,103,1512795995.255800,64,48,1001,-0.061892,-0.028790,-0.175572
