mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.055800,-0.025195,-0.141037
21,107,1512795996.056600,64,48,1001,-0.075186,-0.032739,-0.187484
20,105,1512795995.653100,64,48,1003,-0.070411,-0.030471,-0.177635
23,111,1512795996.871600,64,48,1004,-0.052331,-0.025920,-0.166102
49,154,1512796005.511600,64,48,926,-0.015105,-0.037794,-0.148825
48,153,1512796005.315900,64,48,968,-0.016079,-0.029890,-0.140400
50,156,1512796005.917500,64,48,954,-0.016298,-0.020356,-0.132634
52,162,1512796007.118200,64,48,1001,-0.018756,-0.014533,-0.082145
58,172,1512796009.117800,64,48,1000,-0.009049,-0.000498,0.011334
63,180,1512796010.743800,64,48,1002,-0.001106,0.002858,0.021341
64,182,1512796011.143500,64,48,1002,-0.002542,0.002563,0.018614
65,184,1512796011.535000,64,48,1003,-0.004289,0.001206,0.011571
69,197,1512796014.267200,64,48,1004,-0.019049,-0.014474,-0.081709
72,206,1512796016.077100,64,48,995,-0.022489,-0.020591,-0.118035
