mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,1,35,297,1,35,-0.015253,0.017710,1.179861
1,1,35,297,1,35,0.006695,0.046212,0.218849
3,1,35,297,1,35,0.431630,0.246202,1.367325
4,1,35,297,1,35,0.056885,-0.020298,0.228325
6,1,35,297,1,35,-0.049122,0.039103,0.191029
7,1,35,297,1,35,-0.055447,0.040411,0.310789
13,1,35,297,1,35,-0.047439,0.042014,0.304819
15,1,35,297,1,35,0.001361,0.033139,0.186986
16,1,35,297,1,35,-0.029595,0.016162,0.236759
18,1,35,297,1,35,-0.016131,0.034222,0.153245
19,1,35,297,1,35,-0.029178,0.033399,0.252302
20,1,35,297,1,35,0.042177,0.037551,0.217452
22,1,35,297,1,35,0.026181,0.048829,0.307864
25,1,35,297,1,35,0.045978,0.144445,1.561452
33,1,35,297,1,35,0.053752,-0.005756,0.223307
36,1,35,297,1,35,-0.022744,0.031931,0.148966
38,1,35,297,1,35,0.053081,-0.021068,0.226079
40,1,35,297,1,35,1.109536,-0.038865,3.088719
41,1,35,297,1,35,0.033140,-0.016799,0.162771
42,1,35,297,1,35,0.111585,-0.043557,0.380520
43,1,35,297,1,35,0.086855,-0.034722,0.315043
44,1,35,297,1,35,-0.001379,0.122929,0.860243
51,1,35,297,1,35,-0.043898,0.038827,0.207147
52,1,35,297,1,35,0.101600,-0.018942,1.359976
53,1,35,297,1,35,0.078383,-0.009926,1.242315
54,1,35,297,1,35,-0.079051,-0.081218,2.363472
56,1,35,297,1,35,0.056739,0.037987,0.208738
57,1,35,297,1,35,0.035961,0.051647,1.856817
60,1,35,297,1,35,0.109607,-0.016639,0.329692
64,1,35,297,1,35,-0.024337,0.032508,0.172585
66,1,35,297,1,35,0.052602,0.097544,1.220875
67,1,35,297,1,35,-0.101089,0.034165,0.611889
68,1,35,297,1,35,0.027662,0.025664,0.176894
69,1,35,297,1,35,-0.004142,0.042078,0.163203
72,1,35,297,1,35,-0.011434,0.031455,0.123998
73,1,35,297,1,35,-0.060628,0.002342,0.167686
74,1,35,297,1,35,0.053560,0.038274,0.239754
75,1,35,297,1,35,-0.508941,0.207575,1.814325
79,1,35,297,1,35,0.066341,0.056480,0.239890
80,1,35,297,1,35,0.063619,0.050644,0.212945
81,1,35,297,1,35,0.027805,0.065044,0.366525
83,1,35,297,1,35,-0.057133,0.032299,1.876347
86,1,35,297,1,35,0.078073,0.014499,2.128471
