mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.058360,-0.028233,-0.155872
21,107,1512795996.056600,64,48,1001,-0.077919,-0.037619,-0.207630
20,105,1512795995.653100,64,48,1003,-0.074322,-0.034920,-0.195797
25,116,1512795997.892700,64,48,1003,-0.033253,-0.018732,-0.119244
23,111,1512795996.871600,64,48,1004,-0.054864,-0.028647,-0.182650
27,120,1512795998.690000,64,48,1003,-0.012058,-0.007776,-0.044668
26,118,1512795998.294000,64,48,1003,-0.021916,-0.013717,-0.082790
28,123,1512795999.287700,64,48,1002,-0.000516,-0.004273,-0.018223
