mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,0,30,10215,1,31,-0.053094,0.068067,0.676468
1,0,30,10215,1,31,-0.140808,-0.366420,1.716588
5,0,30,10215,1,31,-0.346608,-0.079154,0.931919
7,0,30,10215,1,31,-0.248458,-0.133072,0.979225
12,0,30,10215,1,31,0.241289,-0.254993,1.545316
13,0,30,10215,1,31,-0.207282,-0.010498,0.955762
14,0,30,10215,1,31,-0.229225,-0.034888,0.917865
16,0,30,10215,1,31,-0.317453,-0.145537,0.877173
19,0,30,10215,1,31,0.223515,0.030988,0.761501
22,0,30,10215,1,31,-0.118674,0.070232,0.679259
23,0,30,10215,1,31,-0.132083,0.068089,0.706646
24,0,30,10215,1,31,-0.133195,0.045117,0.678490
28,0,30,10215,1,31,0.379310,-0.334967,1.253702
31,0,30,10215,1,31,0.301048,-0.132924,1.350536
35,0,30,10215,1,31,0.160507,-0.048186,1.629183
41,0,30,10215,1,31,0.272191,-0.266080,1.314126
42,0,30,10215,1,31,-0.342088,-0.319033,1.537073
44,0,30,10215,1,31,0.161409,0.072033,0.754338
45,0,30,10215,1,31,0.272270,-0.340308,1.265557
51,0,30,10215,1,31,0.276084,-0.047304,0.782349
54,0,30,10215,1,31,0.133242,0.077407,0.591622
55,0,30,10215,1,31,0.150958,0.072818,0.583753
57,0,30,10215,1,31,-0.216687,-0.327909,1.642169
58,0,30,10215,1,31,-0.203015,0.076562,0.581520
61,0,30,10215,1,31,-0.288007,-0.040704,0.912938
62,0,30,10215,1,31,0.002393,-0.102154,1.869122
64,0,30,10215,1,31,0.138829,0.045308,0.932354
66,0,30,10215,1,31,-0.251977,0.026971,0.842173
70,0,30,10215,1,31,0.289351,-0.092842,0.851738
72,0,30,10215,1,31,0.200693,-0.120845,1.358908
73,0,30,10215,1,31,0.203193,-0.147950,1.399747
77,53,123,10215,1,31,0.059040,-0.259674,1.876218
80,0,30,10215,1,31,0.317344,-0.256597,1.257029
81,0,30,10215,1,31,0.298738,-0.286081,1.226458
82,0,30,10215,1,31,-0.215504,-0.053861,0.979944
85,0,30,10215,1,31,0.134262,0.080980,0.546525
86,0,30,10215,1,31,-0.299975,0.008024,0.952567
87,0,30,10215,1,31,0.180648,-0.021038,1.266658
92,0,30,10215,1,31,0.132991,0.091055,0.443762
94,0,30,10215,1,31,0.248269,-0.244606,1.383005
98,0,30,10215,1,31,0.327415,-0.035060,1.232835
100,0,30,10215,1,31,0.222870,-0.005421,0.803408
102,0,30,10215,1,31,0.184616,0.053835,0.830049
104,0,30,10215,1,31,0.184671,0.026772,0.786732
105,0,30,10215,1,31,-0.037125,0.091402,0.447213
112,0,30,10215,1,31,0.262840,-0.143530,1.292349
