mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
77,1,1,993,1,1,-0.079962,0.094496,0.655864
81,1,1,993,1,1,-0.228677,0.045253,0.704606
82,1,1,993,1,1,-0.325417,0.057249,0.881195
83,1,1,993,1,1,0.047200,0.111226,0.676290
84,1,1,993,1,1,-0.419264,-0.198924,0.958055
86,1,1,993,1,1,0.337554,0.194365,1.193301
88,1,1,993,1,1,0.160666,0.094017,1.638567
89,1,1,993,1,1,-0.412780,-0.159538,0.927481
90,1,1,993,1,1,-0.332349,0.030109,1.041334
91,1,1,993,1,1,-0.401839,-0.012774,1.198297
94,1,1,993,1,1,-0.304644,0.027981,0.972246
95,1,1,993,1,1,-0.284005,-0.003948,1.018856
96,1,1,993,1,1,-0.546395,-0.440207,1.712703
97,1,1,993,1,1,-0.231135,0.057041,1.055575
98,1,1,993,1,1,-0.197484,0.042139,0.776156
99,1,1,993,1,1,-0.160537,0.094397,0.646197
100,1,1,993,1,1,-0.155532,0.101688,0.568188
102,1,1,993,1,1,-0.022099,0.101868,0.734036
104,1,1,993,1,1,-0.018502,0.077630,0.591075
107,1,1,993,1,1,-0.342996,0.057998,0.908809
108,1,1,993,1,1,-0.484922,0.048223,1.228254
109,1,1,993,1,1,-0.383353,0.030498,0.965190
111,1,1,993,1,1,-0.418038,-0.036370,0.923258
114,1,1,993,1,1,-0.347860,-0.124805,0.967487
115,1,1,993,1,1,-0.012118,0.123700,0.651243
116,1,1,993,1,1,-0.021679,0.145995,0.754233
117,1,1,993,1,1,-0.333270,-0.083278,0.973599
119,1,1,993,1,1,-0.344807,-0.116565,1.027586
122,1,1,993,1,1,-0.321036,0.061297,0.736902
124,1,1,993,1,1,0.078153,0.135952,0.569265
126,1,1,993,1,1,-0.288074,0.111346,0.653902
127,1,1,993,1,1,-0.108433,0.063946,1.019480
128,1,1,993,1,1,-0.231080,0.057122,0.579415
129,1,1,993,1,1,-0.249421,0.044222,0.642682
134,1,1,993,1,1,-0.148705,-0.090720,0.721012
136,1,1,993,1,1,-0.314891,-0.033841,0.985353
139,1,1,993,1,1,-0.158000,0.118244,0.574233
140,1,1,993,1,1,-0.162993,0.121439,0.552895
142,1,1,993,1,1,0.031689,0.071443,0.836137
143,1,1,993,1,1,-0.412883,-0.181104,1.073265
145,1,1,993,1,1,-0.394095,-0.183728,1.002850
146,1,1,993,1,1,-0.386274,-0.186792,0.963235
147,1,1,993,1,1,-0.394143,-0.086807,0.983262
150,1,1,993,1,1,-0.281292,-0.093624,1.045956
151,1,1,993,1,1,-0.302278,-0.110113,0.997786
153,1,1,993,1,1,-0.113926,0.149163,0.658916
155,1,1,993,1,1,0.144347,0.111902,0.524882
157,1,1,993,1,1,-0.026112,0.124220,0.547186
160,1,1,993,1,1,-0.401409,0.207500,0.868581
162,1,1,993,1,1,-0.468201,0.103563,1.539155
163,1,1,993,1,1,-0.459873,-0.166672,1.141117
165,1,1,993,1,1,-0.053751,0.135257,0.565451
166,1,1,993,1,1,0.175399,0.154896,1.427409
167,1,1,993,1,1,0.257809,0.097147,1.058299
168,1,1,993,1,1,-0.353107,-0.068562,1.044200
169,1,1,993,1,1,-0.184003,0.062664,0.595853
171,1,1,993,1,1,-0.202248,0.051628,0.674255
172,1,1,993,1,1,-0.357837,-0.017587,0.912216
174,1,1,993,1,1,-0.236529,0.106978,0.627656
175,1,1,993,1,1,-0.210215,0.089557,0.527452
178,1,1,993,1,1,0.247039,0.055453,0.966724
179,1,1,993,1,1,0.133366,0.175465,0.834209
181,1,1,993,1,1,0.281339,0.009123,1.098332
182,1,1,993,1,1,-0.604643,-0.619836,2.753815
184,1,1,993,1,1,-0.222001,0.140488,0.638436
185,1,1,993,1,1,0.207445,0.078570,0.999415
187,1,1,993,1,1,0.062264,0.116227,0.609050
188,1,1,993,1,1,0.048559,0.127114,0.627041
189,1,1,993,1,1,-0.201787,0.118627,0.559661
192,1,1,993,1,1,-0.222025,0.083256,0.594532
193,1,1,993,1,1,-0.247653,0.077635,0.591548
194,1,1,993,1,1,0.131776,0.116211,0.599093
195,1,1,993,1,1,-0.183391,0.067714,0.574767
196,1,1,993,1,1,-0.323268,-0.053105,1.035719
197,1,1,993,1,1,-0.316751,-0.081735,1.000701
199,1,1,993,1,1,-0.089865,0.111287,0.627293
200,1,1,993,1,1,-0.092911,0.108226,0.680038
206,1,1,993,1,1,0.277254,0.025665,1.403946
208,1,1,993,1,1,-0.214766,0.106565,0.613365
211,1,1,993,1,1,-0.377254,-0.065433,0.973312
214,1,1,993,1,1,-0.174850,0.131948,0.688487
215,1,1,993,1,1,-0.396402,0.021507,1.006881
216,1,1,993,1,1,-0.369751,0.003319,0.944333
217,1,1,993,1,1,-0.078493,0.127946,0.555106
219,1,1,993,1,1,0.128648,0.129252,0.711364
220,1,1,993,1,1,0.164295,0.136861,0.830234
221,1,1,993,1,1,0.141440,0.146916,0.703364
222,1,1,993,1,1,0.120379,0.117950,0.626646
225,1,1,993,1,1,0.108240,0.094934,0.676389
226,1,1,993,1,1,0.078351,0.112468,0.780016
228,1,1,993,1,1,0.093022,0.105114,0.845549
229,1,1,993,1,1,0.076913,0.135765,1.039477
230,1,1,993,1,1,-0.254930,0.068360,0.764315
231,1,1,993,1,1,-0.228492,0.060968,0.642134
233,1,1,993,1,1,-0.127206,0.129360,0.540358
234,1,1,993,1,1,-0.146730,0.126152,0.557978
237,1,1,993,1,1,-0.440663,-0.080195,0.961387
238,1,1,993,1,1,-0.424179,-0.131510,0.954130
240,1,1,993,1,1,-0.103184,0.076137,0.979157
242,0,0,993,0,0,0.106411,-0.184028,0.817926
245,0,0,993,0,0,-0.275274,0.114777,0.644903
248,0,0,993,0,0,0.152713,0.099806,0.738319
250,0,0,993,0,0,0.095533,-0.070959,0.476689
251,0,0,993,0,0,0.034152,-0.086817,0.333872
252,0,0,993,0,0,-0.265930,-0.092446,1.042868
253,0,0,993,0,0,-0.107161,0.054647,0.365776
257,1,1,993,1,1,0.080844,-0.405827,2.169731
258,2,2,993,2,2,-0.134274,0.093617,0.484994
260,2,2,993,2,2,-0.199997,0.080909,0.583739
