mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.056903,-0.028281,-0.143691
21,107,1512795996.056600,64,48,1001,-0.075903,-0.036486,-0.192254
20,105,1512795995.653100,64,48,1003,-0.071046,-0.034458,-0.181786
23,111,1512795996.871600,64,48,1004,-0.052649,-0.028448,-0.169254
41,143,1512796003.293500,64,48,993,-0.014115,-0.014224,-0.071313
49,154,1512796005.511600,64,48,926,-0.014811,-0.043895,-0.155405
48,153,1512796005.315900,64,48,968,-0.015875,-0.034555,-0.146581
50,156,1512796005.917500,64,48,954,-0.012146,-0.024428,-0.136219
52,162,1512796007.118200,64,48,1001,-0.018179,-0.017609,-0.087241
54,167,1512796008.124900,64,48,1003,-0.018560,-0.013092,-0.040712
57,171,1512796008.921700,64,48,1003,-0.008571,-0.006881,-0.001559
58,172,1512796009.117800,64,48,1000,-0.008031,-0.002459,0.008605
59,173,1512796009.314100,64,48,1001,-0.004456,-0.001618,0.010192
60,174,1512796009.531700,64,48,1003,-0.001546,-0.000786,0.019722
