mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,0,30,8199,1,31,-0.053576,0.068730,0.682354
1,0,30,8199,1,31,-0.145274,-0.374943,1.756685
5,0,30,8199,1,31,-0.351972,-0.079052,0.945716
7,0,30,8199,1,31,-0.251465,-0.134324,0.990866
12,0,30,8199,1,31,0.220690,-0.228486,1.401275
13,0,30,8199,1,31,-0.209914,-0.010512,0.967792
14,0,30,8199,1,31,-0.232659,-0.035156,0.930439
16,0,30,8199,1,31,-0.324266,-0.148767,0.895651
19,0,30,8199,1,31,0.225981,0.031247,0.769853
22,0,30,8199,1,31,-0.119898,0.071023,0.685975
23,0,30,8199,1,31,-0.131980,0.068363,0.708485
24,0,30,8199,1,31,-0.135825,0.045590,0.688283
28,0,30,8199,1,31,0.379974,-0.335799,1.257711
31,0,30,8199,1,31,0.301052,-0.130075,1.350945
35,0,30,8199,1,31,0.170944,-0.052986,1.721092
41,0,30,8199,1,31,0.282211,-0.277184,1.369161
42,0,30,8199,1,31,-0.338933,-0.314144,1.517821
44,0,30,8199,1,31,0.163443,0.072913,0.763942
45,0,30,8199,1,31,0.274719,-0.343251,1.278082
51,0,30,8199,1,31,0.278755,-0.047859,0.789854
53,0,30,8199,1,31,0.055113,0.083488,0.478078
54,0,30,8199,1,31,0.134744,0.078129,0.597580
55,0,30,8199,1,31,0.154111,0.074649,0.594439
57,0,30,8199,1,31,-0.219228,-0.331542,1.660299
58,0,30,8199,1,31,-0.205073,0.077397,0.587246
61,0,30,8199,1,31,-0.292442,-0.041183,0.924889
62,0,30,8199,1,31,0.001577,-0.102465,1.894898
64,0,30,8199,1,31,0.140737,0.045960,0.945369
66,0,30,8199,1,31,-0.254570,0.027404,0.850514
70,0,30,8199,1,31,0.287815,-0.091898,0.847560
72,0,30,8199,1,31,0.199013,-0.119678,1.343659
73,0,30,8199,1,31,0.201489,-0.146739,1.385139
77,0,30,8199,1,31,0.058936,-0.273718,1.976370
80,0,30,8199,1,31,0.320344,-0.259213,1.269998
81,0,30,8199,1,31,0.301407,-0.288757,1.238271
82,0,30,8199,1,31,-0.219830,-0.054271,0.995684
85,0,30,8199,1,31,0.135157,0.081318,0.548352
86,0,30,8199,1,31,-0.299574,0.008288,0.951996
87,0,30,8199,1,31,0.189577,-0.021969,1.332773
92,0,30,8199,1,31,0.134517,0.091994,0.448887
94,0,30,8199,1,31,0.248022,-0.243997,1.380834
98,0,30,8199,1,31,0.331476,-0.035632,1.248547
100,0,30,8199,1,31,0.225152,-0.005823,0.812322
102,0,30,8199,1,31,0.186735,0.054446,0.840052
104,0,30,8199,1,31,0.186850,0.027010,0.796011
105,0,30,8199,1,31,-0.037520,0.092314,0.451871
112,0,30,8199,1,31,0.264857,-0.144683,1.303829
117,0,30,8199,1,31,-0.009219,0.055257,0.863764
119,0,30,8199,1,31,0.354082,-0.249783,1.254408
123,0,30,8199,1,31,-0.148352,0.033877,0.688288
127,0,30,8199,1,31,0.278672,0.019135,1.442394
130,0,30,8199,1,31,0.035773,-0.150180,1.945807
133,0,30,8199,1,31,0.322302,-0.041070,1.064940
135,0,30,8199,1,31,0.131786,0.064822,0.693449
137,0,30,8199,1,31,-0.142089,0.049298,0.625191
138,0,30,8199,1,31,0.056846,0.086252,0.415302
139,0,30,8199,1,31,0.052646,0.080640,0.421566
141,0,30,8199,1,31,0.332558,-0.106955,1.169513
144,0,30,8199,1,31,0.097432,0.073068,0.628893
145,0,30,8199,1,31,0.075519,0.073007,0.606857
146,0,30,8199,1,31,0.104534,0.069327,0.692708
147,0,30,8199,1,31,0.074845,0.067973,0.650603
149,0,30,8199,1,31,0.168679,0.047062,0.860665
152,0,30,8199,1,31,1.579519,-3.689815,18.442537
