mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.048046,-0.022148,-0.124865
21,107,1512795996.056600,64,48,1001,-0.064397,-0.029139,-0.164812
20,105,1512795995.653100,64,48,1003,-0.060423,-0.027025,-0.156366
23,111,1512795996.871600,64,48,1004,-0.044699,-0.022884,-0.145869
49,154,1512796005.511600,64,48,926,-0.016655,-0.023969,-0.120663
48,153,1512796005.315900,64,48,968,-0.017785,-0.018788,-0.113007
50,156,1512796005.917500,64,48,954,-0.015486,-0.007603,-0.103707
58,172,1512796009.117800,64,48,1000,-0.007476,-0.001452,0.006908
63,180,1512796010.743800,64,48,1002,-0.001446,0.000857,0.015443
64,182,1512796011.143500,64,48,1002,-0.002309,0.001224,0.012140
65,184,1512796011.535000,64,48,1003,-0.003772,-0.000043,0.007071
90,234,1512796021.672900,64,48,1002,-0.018255,-0.003198,-0.114342
114,268,1512796028.573400,64,48,981,-0.054587,-0.043289,-0.292672
113,267,1512796028.375400,64,48,981,-0.054459,-0.044406,-0.298138
115,271,1512796029.200300,64,48,999,-0.051392,-0.039522,-0.266830
118,281,1512796031.247800,64,48,1002,-0.041022,-0.027840,-0.181714
117,279,1512796030.842900,64,48,1003,-0.043236,-0.029813,-0.194486
119,290,1512796033.064900,64,48,1003,-0.031796,-0.016116,-0.083047
