mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.059641,-0.029107,-0.156213
21,107,1512795996.056600,64,48,1001,-0.080508,-0.039009,-0.207169
20,105,1512795995.653100,64,48,1003,-0.075843,-0.036047,-0.195906
25,116,1512795997.892700,64,48,1003,-0.034924,-0.018670,-0.119763
23,111,1512795996.871600,64,48,1004,-0.055331,-0.029326,-0.183446
26,118,1512795998.294000,64,48,1003,-0.022862,-0.014219,-0.083889
38,138,1512796002.294700,64,48,1001,-0.006052,-0.005776,-0.030101
41,143,1512796003.293500,64,48,993,-0.010858,-0.015349,-0.080775
46,150,1512796004.708100,64,48,971,-0.001811,-0.026962,-0.124887
49,154,1512796005.511600,64,48,926,0.008462,-0.028017,-0.129373
48,153,1512796005.315900,64,48,968,0.004598,-0.025690,-0.129705
