mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,1,35,236,1,35,-0.008915,0.012320,0.775751
1,1,35,236,1,35,0.013901,0.096723,0.458113
3,1,35,236,1,35,0.263422,0.150101,0.837632
4,1,35,236,1,35,0.168071,-0.059494,0.675389
6,1,35,236,1,35,-0.090724,0.072044,0.352925
7,1,35,236,1,35,-0.164986,0.118958,0.923604
13,1,35,236,1,35,-0.095771,0.084590,0.612120
15,1,35,236,1,35,0.002487,0.075146,0.426998
16,1,35,236,1,35,-0.057262,0.031088,0.457882
18,1,35,236,1,35,-0.037381,0.078952,0.353111
19,1,35,236,1,35,-0.042706,0.048824,0.369912
20,1,35,236,1,35,0.098619,0.086787,0.508163
22,1,35,236,1,35,0.037891,0.069310,0.446784
25,1,35,236,1,35,0.024021,0.072726,0.794694
33,1,35,236,1,35,0.124230,-0.013571,0.516008
36,1,35,236,1,35,-0.043636,0.060479,0.282928
38,1,35,236,1,35,0.136058,-0.054014,0.578038
40,1,35,236,1,35,1.052199,-0.036381,2.930830
41,1,35,236,1,35,0.088483,-0.044928,0.437139
42,1,35,236,1,35,0.181169,-0.070814,0.618593
43,1,35,236,1,35,0.130741,-0.052384,0.475993
44,1,35,236,1,35,0.000003,0.117892,0.813242
50,1,35,236,1,35,-0.073845,0.033197,0.468928
51,1,35,236,1,35,-0.074373,0.065879,0.351343
52,1,35,236,1,35,0.062444,-0.010989,0.835449
53,1,35,236,1,35,0.047154,-0.005118,0.736687
54,1,35,236,1,35,-0.032067,-0.031531,0.952732
55,1,35,236,1,35,0.509152,0.036714,1.431170
56,1,35,236,1,35,0.197295,0.133211,0.726904
57,1,35,236,1,35,0.022506,0.030340,1.109463
60,1,35,236,1,35,0.200116,-0.030496,0.602603
64,1,35,236,1,35,-0.054863,0.073085,0.387645
66,1,35,236,1,35,0.045768,0.080923,1.023068
67,1,35,236,1,35,-0.166278,0.056302,1.007302
68,1,35,236,1,35,0.080098,0.076300,0.511019
69,1,35,236,1,35,-0.010685,0.106473,0.411816
72,1,35,236,1,35,-0.023582,0.063871,0.252756
73,1,35,236,1,35,-0.117516,0.004431,0.324978
74,1,35,236,1,35,0.209485,0.151899,0.943188
75,1,35,236,1,35,-0.674866,0.277339,2.407519
77,1,35,236,1,35,0.133073,0.092999,0.464471
79,1,35,236,1,35,0.232161,0.199394,0.842035
80,1,35,236,1,35,0.221347,0.176719,0.738814
81,1,35,236,1,35,0.061700,0.145127,0.816945
83,1,35,236,1,35,-0.028201,0.017651,0.976113
86,1,35,236,1,35,0.036684,0.005459,0.946597
87,1,35,236,1,35,-0.037546,0.024744,0.414485
89,1,35,236,1,35,0.092648,-0.040861,0.378924
91,1,35,236,1,35,0.138894,-0.071177,0.588070
92,1,35,236,1,35,0.059412,-0.020970,0.263539
93,1,35,236,1,35,0.060425,0.041765,0.342982
94,1,35,236,1,35,0.537661,0.779279,3.043823
96,1,35,236,1,35,-0.110409,0.094260,0.420764
99,1,35,236,1,35,0.315499,0.203241,0.883720
100,1,35,236,1,35,0.098255,-0.058649,0.534151
102,1,35,236,1,35,0.124503,-0.012563,0.345205
104,1,35,236,1,35,-0.090747,0.064179,0.482100
106,1,35,236,1,35,-0.051012,0.030343,0.327194
107,1,35,236,1,35,-0.031138,0.037953,0.278226
108,1,35,236,1,35,0.125416,0.098530,0.613626
109,1,35,236,1,35,0.138754,0.085064,0.533857
112,1,35,236,1,35,0.173846,0.127214,0.591741
115,1,35,236,1,35,0.069790,0.075931,1.270322
116,1,35,236,1,35,-0.006217,0.057989,0.814122
118,1,35,236,1,35,0.164422,-0.058185,0.525975
119,1,35,236,1,35,0.293673,-0.105259,0.970876
120,1,35,236,1,35,0.292026,-0.109055,0.926929
123,1,35,236,1,35,0.029182,0.011043,0.390670
125,1,35,236,1,35,-0.040085,0.044559,0.360268
128,1,35,236,1,35,-1.755128,0.830364,6.635497
129,1,35,236,1,35,-0.337192,0.153108,1.381026
130,1,35,236,1,35,0.035212,0.391745,2.443635
132,1,35,236,1,35,-0.059861,0.016168,0.401799
133,1,35,236,1,35,0.168438,0.101401,1.525274
134,1,35,236,1,35,0.099613,-0.033186,0.467579
138,1,35,236,1,35,-0.045661,0.042152,1.113541
140,1,35,236,1,35,0.146606,-0.031447,0.456885
142,1,35,236,1,35,0.121133,0.256096,1.271941
145,1,35,236,1,35,0.298794,-0.062094,0.889026
147,1,35,236,1,35,-0.073841,0.024696,0.570970
148,1,35,236,1,35,-0.097903,0.100674,0.438189
153,1,35,236,1,35,0.047094,0.043852,1.196631
154,1,35,236,1,35,0.006811,0.000345,0.031241
155,1,35,236,1,35,0.004633,0.010307,1.220406
156,1,35,236,1,35,0.024767,0.010895,0.429809
157,1,35,236,1,35,-0.116746,0.140905,0.639128
158,1,35,236,1,35,0.082112,0.045099,0.602841
159,1,35,236,1,35,0.016023,0.062488,0.463541
160,1,35,236,1,35,0.105807,0.010234,1.174843
161,1,35,236,1,35,0.058664,0.060948,0.864171
162,1,35,236,1,35,0.053333,0.031432,0.301653
164,0,0,236,1,35,0.004376,0.042019,0.171995
165,1,35,236,1,35,0.039244,0.089682,0.532192
166,1,35,236,1,35,-0.011493,0.040762,0.269993
168,1,35,236,1,35,0.191837,0.125032,0.591016
170,1,35,236,1,35,0.168344,0.126404,0.649530
171,1,35,236,1,35,-0.229961,0.021652,0.701073
172,1,35,236,1,35,-0.357347,0.001430,1.121025
174,1,35,236,1,35,-0.071536,0.068972,0.457635
175,1,35,236,1,35,-0.111610,0.078540,0.430390
176,1,35,236,1,35,0.165071,-0.027615,0.460628
178,1,35,236,1,35,0.123607,-0.039362,0.420922
179,1,35,236,1,35,0.064709,-0.031057,0.352125
180,1,35,236,1,35,0.101530,-0.052144,0.485479
181,1,35,236,1,35,0.210066,-0.083760,0.804802
183,1,35,236,1,35,1.667300,-0.561858,5.149068
184,1,35,236,1,35,-0.045500,-0.110294,2.109630
185,1,35,236,1,35,-0.215342,0.141439,0.699952
187,1,35,236,1,35,-0.253302,0.068008,0.878095
188,1,35,236,1,35,0.201528,0.212891,0.906976
189,1,35,236,1,35,0.074995,0.076734,0.540912
191,0,0,236,0,0,0.010009,-0.000853,0.036383
193,0,0,236,0,0,0.097024,-0.102216,0.675456
194,0,0,236,0,0,0.007551,-0.002923,0.176211
207,4,57,236,4,57,0.013669,0.002354,0.050595
196,0,0,236,2,36,0.009318,0.001513,0.032867
197,3,56,236,3,56,0.026017,0.001353,0.081397
198,3,56,236,3,56,0.009570,0.002569,0.038209
199,3,56,236,3,56,0.066561,-0.021226,0.250972
200,3,56,236,3,56,0.031970,0.017932,0.107084
201,3,56,236,3,56,0.026246,-0.033047,0.213861
202,3,56,236,3,56,0.004185,0.013485,0.126850
203,3,56,236,3,56,-0.022197,-0.006559,0.094416
205,3,56,236,3,56,0.064702,-0.006254,0.863112
210,5,59,236,5,59,0.007240,0.000178,0.035425
211,5,59,236,5,59,-0.035170,0.045170,0.229539
220,5,59,236,5,59,-0.001134,0.000517,0.029116
213,5,59,236,5,59,-0.006484,-0.002860,0.045690
214,5,59,236,5,59,-0.051382,-0.014934,0.240114
215,5,59,236,5,59,-0.010717,0.002998,0.091071
216,5,59,236,5,59,-0.009395,0.023285,0.187397
217,5,59,236,5,59,-0.017989,0.041442,0.198656
218,5,59,236,5,59,-0.042431,0.036780,0.314575
221,5,59,236,5,59,0.006105,0.000397,0.026782
222,5,59,236,5,59,0.003895,0.000238,0.018505
223,5,59,236,5,59,-0.004713,-0.013268,0.083078
212,5,59,236,5,59,-0.030663,0.035599,0.274615
224,6,60,236,6,60,-0.024925,0.045650,0.216689
225,6,60,236,6,60,-0.004646,0.042766,0.183118
226,6,60,236,6,60,-0.021734,0.039800,0.192807
227,6,60,236,6,60,-0.006212,0.024636,0.172910
232,6,60,236,6,60,0.004461,0.000148,0.021039
233,6,60,236,6,60,0.011416,0.011856,0.063204
234,6,60,236,6,60,-0.009381,-0.022676,0.130093
235,6,60,236,6,60,-0.003920,-0.009176,0.063989
230,6,60,236,6,60,-0.017181,-0.027678,0.162108
231,6,60,236,6,60,-0.004253,-0.012558,0.085345
228,6,60,236,6,60,-0.061160,-0.009536,0.336094
229,6,60,236,6,60,-0.040733,-0.065352,0.252036
