mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,0,30,8384,1,31,-0.053530,0.068698,0.681927
1,0,30,8384,1,31,-0.145274,-0.374943,1.756685
5,0,30,8384,1,31,-0.351736,-0.078972,0.945054
7,0,30,8384,1,31,-0.251465,-0.134324,0.990866
12,0,30,8384,1,31,0.220690,-0.228486,1.401275
13,0,30,8384,1,31,-0.209914,-0.010512,0.967792
14,0,30,8384,1,31,-0.232659,-0.035156,0.930439
16,0,30,8384,1,31,-0.324163,-0.148686,0.895233
19,0,30,8384,1,31,0.225981,0.031247,0.769853
22,0,30,8384,1,31,-0.119851,0.071007,0.685659
23,0,30,8384,1,31,-0.131854,0.068323,0.707905
24,0,30,8384,1,31,-0.135727,0.045551,0.687800
28,0,30,8384,1,31,0.380161,-0.335979,1.258445
31,0,30,8384,1,31,0.301052,-0.130075,1.350945
35,0,30,8384,1,31,0.170944,-0.052986,1.721092
41,0,30,8384,1,31,0.282211,-0.277184,1.369161
42,0,30,8384,1,31,-0.338933,-0.314144,1.517821
44,0,30,8384,1,31,0.163443,0.072913,0.763942
45,0,30,8384,1,31,0.274780,-0.343351,1.278561
51,0,30,8384,1,31,0.279097,-0.047942,0.790831
53,0,30,8384,1,31,0.055114,0.083496,0.478121
54,0,30,8384,1,31,0.134747,0.078153,0.597742
55,0,30,8384,1,31,0.154156,0.074698,0.594733
57,0,30,8384,1,31,-0.219228,-0.331542,1.660299
58,0,30,8384,1,31,-0.205076,0.077390,0.587151
61,0,30,8384,1,31,-0.292442,-0.041183,0.924889
62,0,30,8384,1,31,0.001577,-0.102465,1.894898
64,0,30,8384,1,31,0.140737,0.045960,0.945369
66,0,30,8384,1,31,-0.254597,0.027412,0.850474
70,0,30,8384,1,31,0.287749,-0.091886,0.847366
72,0,30,8384,1,31,0.199013,-0.119678,1.343659
73,0,30,8384,1,31,0.201489,-0.146739,1.385139
77,0,30,8384,1,31,0.058936,-0.273718,1.976370
80,0,30,8384,1,31,0.320344,-0.259213,1.269998
81,0,30,8384,1,31,0.301407,-0.288757,1.238271
82,0,30,8384,1,31,-0.219830,-0.054271,0.995684
85,0,30,8384,1,31,0.135197,0.081349,0.548530
86,0,30,8384,1,31,-0.299458,0.008340,0.951603
87,0,30,8384,1,31,0.189577,-0.021969,1.332773
92,0,30,8384,1,31,0.134564,0.092023,0.449030
94,0,30,8384,1,31,0.248022,-0.243997,1.380834
98,0,30,8384,1,31,0.331476,-0.035632,1.248547
