mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.053145,-0.024780,-0.135958
21,107,1512795996.056600,64,48,1001,-0.071357,-0.032714,-0.181185
20,105,1512795995.653100,64,48,1003,-0.066833,-0.030322,-0.171326
23,111,1512795996.871600,64,48,1004,-0.049442,-0.025628,-0.160191
49,154,1512796005.511600,64,48,926,-0.018128,-0.026051,-0.143693
48,153,1512796005.315900,64,48,968,-0.018141,-0.019941,-0.134402
50,156,1512796005.917500,64,48,954,-0.016657,-0.008657,-0.125692
58,172,1512796009.117800,64,48,1000,-0.008314,-0.001454,0.010655
63,180,1512796010.743800,64,48,1002,-0.000968,0.001435,0.019341
64,182,1512796011.143500,64,48,1002,-0.002033,0.001580,0.016123
65,184,1512796011.535000,64,48,1003,-0.003521,0.000293,0.010231
83,224,1512796019.655100,64,48,1004,-0.003044,-0.002445,-0.006691
84,226,1512796020.075300,64,48,1002,-0.009665,-0.008048,-0.030657
