mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.048525,-0.021845,-0.124284
21,107,1512795996.056600,64,48,1001,-0.065176,-0.028870,-0.164595
20,105,1512795995.653100,64,48,1003,-0.061250,-0.026629,-0.155956
23,111,1512795996.871600,64,48,1004,-0.045489,-0.022553,-0.145384
49,154,1512796005.511600,64,48,926,-0.012655,-0.024433,-0.121881
48,153,1512796005.315900,64,48,968,-0.015859,-0.019145,-0.116634
50,156,1512796005.917500,64,48,954,-0.012818,-0.008431,-0.106735
58,172,1512796009.117800,64,48,1000,-0.007652,-0.001424,0.008939
63,180,1512796010.743800,64,48,1002,-0.001292,0.000941,0.017489
64,182,1512796011.143500,64,48,1002,-0.002244,0.001246,0.014115
65,184,1512796011.535000,64,48,1003,-0.003690,0.000130,0.008957
90,234,1512796021.672900,64,48,1002,-0.017792,-0.003768,-0.117723
114,268,1512796028.573400,64,48,981,-0.054578,-0.042662,-0.296980
113,267,1512796028.375400,64,48,981,-0.054648,-0.043761,-0.302354
115,271,1512796029.200300,64,48,999,-0.051505,-0.039025,-0.270550
118,281,1512796031.247800,64,48,1002,-0.041884,-0.027600,-0.182694
120,293,1512796033.671400,64,48,1003,-0.031815,-0.010265,-0.053622
121,295,1512796034.067400,64,48,1002,-0.029793,-0.008885,-0.030427
122,298,1512796034.675600,64,48,1001,-0.025769,-0.002506,0.013677
