mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.046580,-0.021524,-0.122213
21,107,1512795996.056600,64,48,1001,-0.062857,-0.028405,-0.162089
20,105,1512795995.653100,64,48,1003,-0.058951,-0.026111,-0.153513
23,111,1512795996.871600,64,48,1004,-0.043614,-0.022244,-0.143099
49,154,1512796005.511600,64,48,926,-0.013206,-0.026020,-0.122644
48,153,1512796005.315900,64,48,968,-0.016425,-0.020371,-0.117371
50,156,1512796005.917500,64,48,954,-0.013555,-0.009155,-0.107705
63,180,1512796010.743800,64,48,1002,-0.000837,0.001491,0.018345
114,268,1512796028.573400,64,48,981,-0.052704,-0.042259,-0.293876
113,267,1512796028.375400,64,48,981,-0.052837,-0.043415,-0.299188
115,271,1512796029.200300,64,48,999,-0.049662,-0.038825,-0.267489
118,281,1512796031.247800,64,48,1002,-0.040469,-0.026846,-0.179168
120,293,1512796033.671400,64,48,1003,-0.031162,-0.009777,-0.051594
122,298,1512796034.675600,64,48,1001,-0.024990,-0.001931,0.014733
123,300,1512796035.090900,64,48,1003,-0.020951,0.000789,0.034554
124,301,1512796035.287400,64,48,1001,-0.003039,0.002459,0.050152
126,303,1512796035.700500,64,48,1000,0.004604,0.006343,0.062943
127,304,1512796035.895000,64,48,1002,0.011066,0.004857,0.061313
