mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.056616,-0.025644,-0.139813
21,107,1512795996.056600,64,48,1001,-0.075327,-0.033417,-0.187635
20,105,1512795995.653100,64,48,1003,-0.070894,-0.031116,-0.177079
23,111,1512795996.871600,64,48,1004,-0.053192,-0.026891,-0.165104
49,154,1512796005.511600,64,48,926,-0.022689,-0.032996,-0.148232
48,153,1512796005.315900,64,48,968,-0.024056,-0.026161,-0.139597
50,156,1512796005.917500,64,48,954,-0.022862,-0.014728,-0.131409
58,172,1512796009.117800,64,48,1000,-0.009525,-0.000726,0.011952
63,180,1512796010.743800,64,48,1002,-0.001070,0.002769,0.021432
64,182,1512796011.143500,64,48,1002,-0.002693,0.002483,0.018019
65,184,1512796011.535000,64,48,1003,-0.004394,0.001021,0.011325
74,211,1512796017.075800,64,48,1000,-0.030593,-0.027082,-0.142251
77,217,1512796018.259200,64,48,1005,-0.011150,-0.008157,-0.041582
78,219,1512796018.651300,64,48,1002,-0.001422,-0.000497,0.008886
