mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.056862,-0.027780,-0.143160
21,107,1512795996.056600,64,48,1001,-0.076054,-0.036312,-0.191158
20,105,1512795995.653100,64,48,1003,-0.071295,-0.033939,-0.180774
23,111,1512795996.871600,64,48,1004,-0.052639,-0.028159,-0.168605
41,143,1512796003.293500,64,48,993,-0.014115,-0.014224,-0.071313
49,154,1512796005.511600,64,48,926,-0.014811,-0.043895,-0.155405
48,153,1512796005.315900,64,48,968,-0.015875,-0.034555,-0.146581
50,156,1512796005.917500,64,48,954,-0.012146,-0.024428,-0.136219
52,162,1512796007.118200,64,48,1001,-0.018172,-0.017562,-0.087326
54,167,1512796008.124900,64,48,1003,-0.018711,-0.012939,-0.040387
57,171,1512796008.921700,64,48,1003,-0.009244,-0.006495,-0.000860
58,172,1512796009.117800,64,48,1000,-0.008327,-0.002236,0.009372
62,176,1512796009.949500,64,48,1001,0.001146,-0.000397,0.028915
63,180,1512796010.743800,64,48,1002,-0.000729,0.001099,0.019993
64,182,1512796011.143500,64,48,1002,-0.002106,0.000833,0.016923
