mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.046574,-0.021528,-0.122109
21,107,1512795996.056600,64,48,1001,-0.062797,-0.028392,-0.162005
20,105,1512795995.653100,64,48,1003,-0.058920,-0.026136,-0.153410
23,111,1512795996.871600,64,48,1004,-0.043600,-0.022234,-0.142998
49,154,1512796005.511600,64,48,926,-0.013206,-0.026020,-0.122644
48,153,1512796005.315900,64,48,968,-0.016425,-0.020371,-0.117371
50,156,1512796005.917500,64,48,954,-0.013555,-0.009155,-0.107705
63,180,1512796010.743800,64,48,1002,-0.000844,0.001587,0.018495
65,184,1512796011.535000,64,48,1003,-0.003544,0.000264,0.008666
114,268,1512796028.573400,64,48,981,-0.052704,-0.042259,-0.293876
113,267,1512796028.375400,64,48,981,-0.052837,-0.043415,-0.299188
115,271,1512796029.200300,64,48,999,-0.049662,-0.038825,-0.267489
118,281,1512796031.247800,64,48,1002,-0.040500,-0.026843,-0.179101
120,293,1512796033.671400,64,48,1003,-0.031202,-0.009798,-0.051507
122,298,1512796034.675600,64,48,1001,-0.025069,-0.001950,0.014781
123,300,1512796035.090900,64,48,1003,-0.020930,0.000801,0.034350
124,301,1512796035.287400,64,48,1001,-0.003072,0.002733,0.050677
126,303,1512796035.700500,64,48,1000,0.004403,0.006567,0.062289
125,302,1512796035.503900,64,48,1000,0.002007,0.005760,0.065641
