mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.048339,-0.021839,-0.123842
21,107,1512795996.056600,64,48,1001,-0.064469,-0.029064,-0.164242
20,105,1512795995.653100,64,48,1003,-0.060873,-0.026828,-0.155405
23,111,1512795996.871600,64,48,1004,-0.045014,-0.022708,-0.145077
49,154,1512796005.511600,64,48,926,-0.020265,-0.027198,-0.126482
48,153,1512796005.315900,64,48,968,-0.020777,-0.021556,-0.117883
50,156,1512796005.917500,64,48,954,-0.019131,-0.009827,-0.109001
58,172,1512796009.117800,64,48,1000,-0.008072,-0.001498,0.007596
63,180,1512796010.743800,64,48,1002,-0.001582,0.001156,0.015879
64,182,1512796011.143500,64,48,1002,-0.002501,0.001323,0.012845
65,184,1512796011.535000,64,48,1003,-0.004023,0.000080,0.007548
90,234,1512796021.672900,64,48,1002,-0.017880,-0.003801,-0.115330
95,245,1512796023.894900,64,48,1001,-0.021115,-0.023592,-0.147422
100,250,1512796024.910100,64,48,1003,-0.034792,-0.031598,-0.201465
105,257,1512796026.320000,64,48,1001,-0.051584,-0.035576,-0.246671
112,265,1512796027.977500,64,48,992,-0.054241,-0.044592,-0.300683
113,267,1512796028.375400,64,48,981,-0.056272,-0.044622,-0.300011
