mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.056917,-0.027973,-0.143343
21,107,1512795996.056600,64,48,1001,-0.076041,-0.036617,-0.191679
20,105,1512795995.653100,64,48,1003,-0.071247,-0.034397,-0.181100
23,111,1512795996.871600,64,48,1004,-0.052764,-0.028515,-0.168801
41,143,1512796003.293500,64,48,993,-0.014115,-0.014224,-0.071313
49,154,1512796005.511600,64,48,926,-0.014811,-0.043895,-0.155405
48,153,1512796005.315900,64,48,968,-0.015875,-0.034555,-0.146581
50,156,1512796005.917500,64,48,954,-0.012146,-0.024428,-0.136219
52,162,1512796007.118200,64,48,1001,-0.018179,-0.017609,-0.087241
54,167,1512796008.124900,64,48,1003,-0.018590,-0.013138,-0.040557
57,171,1512796008.921700,64,48,1003,-0.008905,-0.006830,-0.001031
58,172,1512796009.117800,64,48,1000,-0.007955,-0.002156,0.009225
60,174,1512796009.531700,64,48,1003,-0.001583,-0.000401,0.020556
62,176,1512796009.949500,64,48,1001,0.001469,-0.000047,0.029899
63,180,1512796010.743800,64,48,1002,-0.000502,0.001183,0.021265
