mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,0,30,11916,1,31,-0.052306,0.066968,0.665775
1,0,30,11916,1,31,-0.138876,-0.361456,1.693129
5,0,30,11916,1,31,-0.341121,-0.077966,0.917171
7,0,30,11916,1,31,-0.244581,-0.131119,0.964109
12,0,30,11916,1,31,0.235517,-0.248939,1.508328
13,0,30,11916,1,31,-0.204138,-0.010431,0.941129
14,0,30,11916,1,31,-0.225717,-0.034462,0.903728
16,0,30,11916,1,31,-0.312421,-0.143295,0.863371
19,0,30,11916,1,31,0.219879,0.030577,0.749578
22,0,30,11916,1,31,-0.116913,0.069110,0.668819
23,0,30,11916,1,31,-0.130064,0.067015,0.695727
24,0,30,11916,1,31,-0.131190,0.044378,0.668051
28,0,30,11916,1,31,0.373690,-0.329842,1.235081
31,0,30,11916,1,31,0.296498,-0.130744,1.330005
35,0,30,11916,1,31,0.154013,-0.045292,1.570597
41,0,30,11916,1,31,0.267981,-0.261844,1.293752
42,0,30,11916,1,31,-0.336893,-0.314313,1.513945
44,0,30,11916,1,31,0.158666,0.070901,0.742051
45,0,30,11916,1,31,0.268180,-0.335066,1.246461
51,0,30,11916,1,31,0.271412,-0.046390,0.769348
54,0,30,11916,1,31,0.130932,0.076146,0.581865
55,0,30,11916,1,31,0.148384,0.071663,0.574268
57,0,30,11916,1,31,-0.213735,-0.323181,1.618995
58,0,30,11916,1,31,-0.199540,0.075200,0.571547
61,0,30,11916,1,31,-0.283729,-0.040199,0.899220
62,0,30,11916,1,31,0.002392,-0.101083,1.841543
64,0,30,11916,1,31,0.136309,0.044487,0.916017
66,0,30,11916,1,31,-0.247534,0.026434,0.827375
70,0,30,11916,1,31,0.284581,-0.091203,0.837865
72,0,30,11916,1,31,0.196351,-0.117835,1.326494
73,0,30,11916,1,31,0.194191,-0.138745,1.330150
77,21,59,11916,1,31,0.057274,-0.256716,1.850429
80,0,30,11916,1,31,0.312555,-0.252559,1.238081
81,0,30,11916,1,31,0.294178,-0.281571,1.207698
82,0,30,11916,1,31,-0.212228,-0.053147,0.964942
85,0,30,11916,1,31,0.131829,0.079554,0.536663
86,0,30,11916,1,31,-0.295469,0.007818,0.938107
