mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,1,35,378,1,35,-0.014207,0.014331,1.097903
1,1,35,378,1,35,0.003998,0.026869,0.127309
3,1,35,378,1,35,0.440362,0.251470,1.401464
4,1,35,378,1,35,0.044338,-0.015611,0.177841
6,1,35,378,1,35,-0.036945,0.029523,0.144019
7,1,35,378,1,35,-0.044715,0.032509,0.250485
13,1,35,378,1,35,-0.044595,0.039358,0.285849
15,1,35,378,1,35,0.001238,0.031997,0.181956
16,1,35,378,1,35,-0.025002,0.013700,0.200129
18,1,35,378,1,35,-0.012228,0.026237,0.117014
19,1,35,378,1,35,-0.023575,0.027018,0.203947
20,1,35,378,1,35,0.022369,0.019762,0.115116
22,1,35,378,1,35,0.013358,0.024392,0.156491
25,1,35,378,1,35,0.040907,0.131185,1.438828
33,1,35,378,1,35,0.141373,-0.015138,0.586169
36,1,35,378,1,35,-0.017594,0.024939,0.115818
38,1,35,378,1,35,0.064189,-0.025411,0.272654
40,1,35,378,1,35,1.137575,-0.042395,3.172060
41,1,35,378,1,35,0.045538,-0.022909,0.223611
42,1,35,378,1,35,0.126390,-0.049332,0.431012
43,1,35,378,1,35,0.085383,-0.034051,0.309895
44,1,35,378,1,35,-0.000464,0.080958,0.558258
51,1,35,378,1,35,-0.033341,0.029587,0.157664
52,1,35,378,1,35,0.138197,-0.026563,1.878197
53,1,35,378,1,35,0.092616,-0.011870,1.479773
54,1,35,378,1,35,-0.107084,-0.104562,3.014072
56,1,35,378,1,35,0.064242,0.043188,0.236297
57,1,35,378,1,35,0.036811,0.052650,1.970743
60,1,35,378,1,35,0.090694,-0.013587,0.272904
64,1,35,378,1,35,-0.018700,0.025172,0.133176
66,1,35,378,1,35,0.009521,0.017195,0.218384
67,1,35,378,1,35,-0.075496,0.025126,0.456252
69,1,35,378,1,35,-0.002862,0.030083,0.116398
72,1,35,378,1,35,-0.008272,0.023286,0.091295
73,1,35,378,1,35,-0.047639,0.001923,0.132020
74,1,35,378,1,35,0.031962,0.022895,0.142849
75,1,35,378,1,35,-0.322453,0.129760,1.147292
79,1,35,378,1,35,0.062116,0.053140,0.224329
80,1,35,378,1,35,0.066186,0.052852,0.221335
81,1,35,378,1,35,0.014053,0.032609,0.184164
83,1,35,378,1,35,-0.029277,0.015530,0.956421
86,1,35,378,1,35,0.089253,0.010282,2.456033
87,1,35,378,1,35,-0.011466,0.007977,0.130515
89,1,35,378,1,35,0.047436,-0.020694,0.194204
91,1,35,378,1,35,0.092025,-0.047033,0.389330
92,1,35,378,1,35,0.017828,-0.006051,0.078787
93,1,35,378,1,35,0.017588,0.012182,0.098958
94,1,35,378,1,35,0.509029,0.733718,2.887217
96,1,35,378,1,35,-0.053096,0.045533,0.202369
99,1,35,378,1,35,0.231297,0.149728,0.648451
100,1,35,378,1,35,0.044245,-0.026247,0.240015
102,1,35,378,1,35,0.025884,-0.002388,0.071392
104,1,35,378,1,35,-0.041699,0.029525,0.221200
106,1,35,378,1,35,-0.022873,0.013876,0.146766
107,1,35,378,1,35,-0.014042,0.017609,0.126577
108,1,35,378,1,35,0.042600,0.033731,0.208225
109,1,35,378,1,35,0.057991,0.035785,0.223264
112,1,35,378,1,35,0.065539,0.048125,0.222713
115,1,35,378,1,35,0.133835,0.146424,2.509299
116,1,35,378,1,35,-0.000924,0.008997,0.128973
118,1,35,378,1,35,0.176624,-0.062560,0.563048
119,1,35,378,1,35,0.199866,-0.071452,0.660686
120,1,35,378,1,35,0.125734,-0.046808,0.399261
123,1,35,378,1,35,0.007195,0.002740,0.093601
128,1,35,378,1,35,-1.739706,0.806706,6.618061
129,1,35,378,1,35,-0.161680,0.072784,0.659391
130,0,0,378,1,35,0.003073,0.035293,0.220356
132,1,35,378,1,35,-0.016229,0.004455,0.110389
133,1,35,378,1,35,0.078128,0.046322,0.716095
134,1,35,378,1,35,0.055768,-0.018540,0.261099
138,1,35,378,1,35,-0.059661,0.051853,1.400637
140,1,35,378,1,35,0.095772,-0.020361,0.297947
142,1,35,378,1,35,0.037065,0.078105,0.389091
145,1,35,378,1,35,0.080556,-0.016747,0.239641
147,1,35,378,1,35,-0.051112,0.017122,0.393548
148,1,35,378,1,35,-0.039601,0.040921,0.177704
153,1,35,378,1,35,0.077803,0.073728,2.035915
155,1,35,378,1,35,0.004554,0.011883,2.094171
156,1,35,378,1,35,0.114602,0.051879,2.041324
157,1,35,378,1,35,-0.077608,0.093221,0.422788
158,1,35,378,1,35,0.071787,0.039642,0.527952
159,0,0,378,1,35,0.047051,0.193337,1.452520
160,1,35,378,1,35,0.140335,0.011484,1.566930
161,1,35,378,1,35,0.115617,0.124284,1.746536
164,0,0,378,1,35,0.001768,0.015134,0.060899
165,1,35,378,1,35,0.012662,0.028755,0.171846
166,1,35,378,1,35,-0.005170,0.019277,0.125610
168,1,35,378,1,35,0.153887,0.100995,0.473744
170,1,35,378,1,35,0.055109,0.041235,0.212284
171,1,35,378,1,35,-0.103870,0.009543,0.316408
172,1,35,378,1,35,-0.226542,-0.000013,0.708872
174,1,35,378,1,35,-0.026344,0.025472,0.169339
176,1,35,378,1,35,0.120687,-0.019916,0.335865
178,1,35,378,1,35,0.042726,-0.013361,0.145458
179,1,35,378,1,35,0.044082,-0.020729,0.238610
183,1,35,378,1,35,1.480312,-0.505206,4.605057
184,1,35,378,1,35,-0.065367,-0.153023,2.841263
185,1,35,378,1,35,-0.101739,0.066503,0.329932
187,1,35,378,1,35,-0.098045,0.026034,0.340347
188,1,35,378,1,35,0.046867,0.049251,0.210982
189,1,35,378,1,35,0.168833,0.176469,1.217005
194,0,0,378,0,0,0.035156,-0.013355,0.898094
207,4,57,378,4,57,0.004173,0.001060,0.014582
197,3,56,378,3,56,0.007785,0.000786,0.023658
199,3,56,378,3,56,0.019587,-0.005828,0.073035
200,3,56,378,3,56,0.007688,0.004454,0.025158
201,3,56,378,3,56,0.009439,-0.011096,0.074363
202,3,56,378,3,56,0.002521,0.008379,0.071874
203,3,56,378,3,56,-0.011045,-0.003040,0.046608
205,3,56,378,3,56,0.062225,-0.007963,0.809955
216,0,0,378,5,59,-0.003336,0.008554,0.067508
217,1,35,378,5,59,-0.007469,0.018133,0.084772
218,0,0,378,5,59,-0.015510,0.013973,0.116555
224,1,35,378,6,60,-0.009127,0.017486,0.081521
238,0,0,378,7,62,-0.029366,0.034593,0.294044
245,4,57,378,7,62,-0.014272,0.005070,0.118254
239,1,35,378,7,62,-0.040770,0.045972,0.346883
255,0,0,378,9,64,-0.004049,0.011357,0.085156
262,0,0,378,10,65,-0.027177,0.008165,0.194341
284,1,35,378,14,69,-0.000948,0.022182,0.097181
288,4,57,378,14,69,0.082934,-0.052338,0.255834
289,4,57,378,15,71,0.075698,-0.036635,0.237227
290,1,35,378,15,71,0.006121,0.008593,0.056594
296,0,0,378,16,73,0.023519,-0.016094,0.136617
298,1,35,378,17,74,0.032193,0.031062,0.181116
306,1,35,378,18,75,0.036993,0.038737,0.212603
312,1,35,378,19,77,0.035311,0.042602,0.194529
314,1,35,378,20,78,0.035917,0.030967,0.209606
315,1,35,378,20,78,0.030608,0.025306,0.157653
317,0,0,378,20,78,0.040989,0.036366,0.186166
318,1,35,378,20,78,0.039979,0.042900,0.232922
326,0,0,378,21,80,0.058064,0.060172,0.260488
327,1,35,378,21,80,0.038111,0.046598,0.212537
334,0,0,378,22,81,0.059436,0.041259,0.264457
339,1,35,378,22,81,0.035961,0.050214,0.201338
342,0,0,378,22,81,0.055857,-0.026704,0.291938
343,1,35,378,23,82,0.050903,-0.020857,0.253330
344,1,35,378,23,82,0.073604,0.050129,0.250696
345,1,35,378,23,82,0.060761,0.045481,0.236877
