mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.050768,-0.022783,-0.127780
21,107,1512795996.056600,64,48,1001,-0.067730,-0.029677,-0.170579
20,105,1512795995.653100,64,48,1003,-0.063693,-0.027525,-0.161314
23,111,1512795996.871600,64,48,1004,-0.047032,-0.023835,-0.150369
49,154,1512796005.511600,64,48,926,-0.020265,-0.027198,-0.126482
48,153,1512796005.315900,64,48,968,-0.021258,-0.021915,-0.118253
50,156,1512796005.917500,64,48,954,-0.019843,-0.010838,-0.109734
58,172,1512796009.117800,64,48,1000,-0.008568,-0.001281,0.008739
63,180,1512796010.743800,64,48,1002,-0.001582,0.001384,0.017324
64,182,1512796011.143500,64,48,1002,-0.002616,0.001613,0.014071
65,184,1512796011.535000,64,48,1003,-0.004321,0.000394,0.008617
90,234,1512796021.672900,64,48,1002,-0.020307,-0.003934,-0.118671
95,245,1512796023.894900,64,48,1001,-0.023364,-0.024757,-0.151592
100,250,1512796024.910100,64,48,1003,-0.037041,-0.032551,-0.205741
106,258,1512796026.518100,64,48,1002,-0.055601,-0.039650,-0.261105
105,257,1512796026.320000,64,48,1001,-0.055247,-0.036483,-0.252275
