mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.059629,-0.029280,-0.156381
21,107,1512795996.056600,64,48,1001,-0.080508,-0.039009,-0.207169
20,105,1512795995.653100,64,48,1003,-0.075843,-0.036047,-0.195906
25,116,1512795997.892700,64,48,1003,-0.035294,-0.018820,-0.119349
23,111,1512795996.871600,64,48,1004,-0.055579,-0.029211,-0.183541
26,118,1512795998.294000,64,48,1003,-0.022825,-0.014387,-0.084183
34,131,1512796000.901600,64,48,1002,0.002348,-0.002549,0.008376
38,138,1512796002.294700,64,48,1001,-0.005041,-0.007158,-0.031902
40,142,1512796003.098200,64,48,1002,-0.008866,-0.016037,-0.074713
41,143,1512796003.293500,64,48,993,-0.008312,-0.016380,-0.084146
