mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.059389,-0.027400,-0.152672
21,107,1512795996.056600,64,48,1001,-0.079324,-0.036547,-0.202902
20,105,1512795995.653100,64,48,1003,-0.074746,-0.033907,-0.191857
25,116,1512795997.892700,64,48,1003,-0.034758,-0.017408,-0.116971
23,111,1512795996.871600,64,48,1004,-0.054579,-0.027585,-0.179630
26,118,1512795998.294000,64,48,1003,-0.023143,-0.013021,-0.081525
38,138,1512796002.294700,64,48,1001,-0.008061,-0.006011,-0.028487
41,143,1512796003.293500,64,48,993,-0.012308,-0.015078,-0.077054
51,159,1512796006.520100,64,48,996,-0.011694,-0.023427,-0.109169
49,154,1512796005.511600,64,48,926,-0.001268,-0.034384,-0.142857
48,153,1512796005.315900,64,48,968,-0.004673,-0.028804,-0.139037
50,156,1512796005.917500,64,48,954,-0.003623,-0.021162,-0.129739
52,162,1512796007.118200,64,48,1001,-0.017621,-0.015613,-0.091245
