mnId,RefKF.Id,RefKF.FrameId,NextId,FirstKF,FirstFrame,PoseX,PoseY,PoseZ
0,1,31,7602,1,31,-0.054875,0.070094,0.694628
1,1,31,7602,1,31,-0.146927,-0.378811,1.773029
5,1,31,7602,1,31,-0.355367,-0.078174,0.952856
7,1,31,7602,1,31,-0.251006,-0.135670,0.990743
12,1,31,7602,1,31,0.215040,-0.221705,1.367929
13,1,31,7602,1,31,-0.210643,-0.010471,0.967196
14,1,31,7602,1,31,-0.233149,-0.035138,0.931937
16,1,31,7602,1,31,-0.324089,-0.150245,0.896224
19,1,31,7602,1,31,0.231036,0.031798,0.791516
22,1,31,7602,1,31,-0.119624,0.071277,0.684834
23,1,31,7602,1,31,-0.134913,0.069578,0.717777
24,1,31,7602,1,31,-0.138875,0.048630,0.702606
28,1,31,7602,1,31,0.390838,-0.346327,1.289721
31,1,31,7602,1,31,0.273276,-0.124872,1.237273
35,1,31,7602,1,31,0.176441,-0.052844,1.755105
41,1,31,7602,1,31,0.287551,-0.281191,1.390140
42,1,31,7602,1,31,-0.330085,-0.307045,1.487840
44,1,31,7602,1,31,0.151314,0.067089,0.692064
45,1,31,7602,1,31,0.275033,-0.344457,1.278618
51,1,31,7602,1,31,0.292952,-0.046705,0.835541
53,1,31,7602,1,31,0.058202,0.089956,0.508899
54,1,31,7602,1,31,0.136668,0.080339,0.607708
55,1,31,7602,1,31,0.150463,0.073483,0.585113
57,1,31,7602,1,31,-0.220243,-0.333424,1.665705
58,1,31,7602,1,31,-0.201413,0.076388,0.576520
61,1,31,7602,1,31,-0.292567,-0.041429,0.925445
62,1,31,7602,1,31,0.000926,-0.102140,1.882717
64,1,31,7602,1,31,0.141844,0.046068,0.959162
66,0,30,7602,1,31,-0.252482,0.027181,0.843260
70,1,31,7602,1,31,0.290188,-0.093294,0.857501
72,1,31,7602,1,31,0.198500,-0.119316,1.340167
73,1,31,7602,1,31,0.202889,-0.147727,1.399262
77,1,31,7602,1,31,0.058634,-0.267822,1.927942
80,1,31,7602,1,31,0.321764,-0.261054,1.274687
81,1,31,7602,1,31,0.302758,-0.290499,1.244545
82,1,31,7602,1,31,-0.218440,-0.054929,0.993203
83,1,31,7602,1,31,-0.203743,0.035085,0.588245
85,1,31,7602,1,31,0.135924,0.081109,0.550555
86,1,31,7602,1,31,-0.300257,0.008356,0.954223
87,1,31,7602,1,31,0.187962,-0.022625,1.322102
92,1,31,7602,1,31,0.135683,0.092684,0.452326
94,1,31,7602,1,31,0.248382,-0.244047,1.381741
98,1,31,7602,1,31,0.337546,-0.037259,1.275248
100,1,31,7602,1,31,0.227965,-0.005883,0.823489
102,1,31,7602,1,31,0.189516,0.055309,0.854777
104,1,31,7602,1,31,0.186796,0.025788,0.797771
105,1,31,7602,1,31,-0.037037,0.092259,0.450563
112,1,31,7602,1,31,0.261617,-0.143036,1.282881
117,1,31,7602,1,31,-0.009309,0.056328,0.872338
119,1,31,7602,1,31,0.359426,-0.254205,1.276007
123,1,31,7602,1,31,-0.149553,0.034230,0.692089
127,1,31,7602,1,31,0.249408,0.015885,1.289265
128,1,31,7602,1,31,5.418493,-10.893618,39.401222
130,1,31,7602,1,31,0.035384,-0.149804,1.938943
133,1,31,7602,1,31,0.334516,-0.042309,1.117297
135,1,31,7602,1,31,0.134375,0.065881,0.704364
137,1,31,7602,1,31,-0.141679,0.049010,0.624874
138,1,31,7602,1,31,0.057332,0.086919,0.420803
139,1,31,7602,1,31,0.052903,0.081924,0.426324
141,1,31,7602,1,31,0.329464,-0.106596,1.160712
144,1,31,7602,1,31,0.094273,0.069320,0.592630
145,1,31,7602,1,31,0.075608,0.073309,0.609225
146,1,31,7602,1,31,0.105705,0.070300,0.704428
147,1,31,7602,1,31,0.078258,0.072978,0.680869
149,1,31,7602,1,31,0.168251,0.047018,0.857982
152,1,31,7602,1,31,1.557589,-3.722428,18.533072
153,1,31,7602,1,31,4.584984,-10.961871,48.416901
155,1,31,7602,1,31,0.292275,-0.022215,0.908953
156,1,31,7602,1,31,0.371903,-0.035898,1.040703
158,1,31,7602,1,31,-0.283588,-0.060819,0.923198
160,1,31,7602,1,31,0.368301,-0.187143,1.393383
161,1,31,7602,1,31,0.280083,-0.168837,1.260957
162,1,31,7602,1,31,0.288941,-0.184949,1.289611
163,1,31,7602,1,31,-0.120825,0.091095,0.674229
164,1,31,7602,1,31,-0.118637,0.084939,0.601203
165,1,31,7602,1,31,-0.126783,0.074389,0.670242
166,1,31,7602,1,31,0.103251,-0.179550,1.903711
167,1,31,7602,1,31,0.010319,-0.317161,1.933980
171,1,31,7602,1,31,-0.174579,0.069812,0.640259
174,1,31,7602,1,31,0.048266,0.093575,0.474104
176,1,31,7602,1,31,0.286952,-0.227642,1.258383
177,1,31,7602,1,31,-0.071968,0.087870,0.427171
180,0,30,7602,0,30,0.058178,0.082688,0.509664
186,0,30,7602,0,30,0.110059,0.085957,0.450846
189,0,30,7602,0,30,0.086664,0.077768,0.572180
192,0,30,7602,0,30,-0.109095,0.096032,0.486945
197,0,30,7602,0,30,-0.141252,0.048048,0.620989
201,0,30,7602,0,30,-0.203575,0.076545,0.584056
204,0,30,7602,0,30,0.016690,0.082569,0.540597
206,0,30,7602,0,30,-0.342199,-0.039518,0.932972
207,0,30,7602,0,30,-0.150673,0.079024,0.559425
211,0,30,7602,0,30,0.163535,0.075906,0.536318
213,0,30,7602,0,30,-0.149612,0.034291,0.694826
217,0,30,7602,0,30,0.060948,0.094835,0.542898
219,0,30,7602,0,30,-0.196557,0.075101,0.582150
220,0,30,7602,0,30,0.130904,0.078307,0.543486
224,0,30,7602,0,30,0.154188,0.066845,0.706151
226,0,30,7602,0,30,-0.195491,0.058684,0.633815
227,0,30,7602,0,30,-0.181686,0.063433,0.650922
228,0,30,7602,0,30,-0.159213,0.071727,0.696921
230,0,30,7602,0,30,-0.205825,0.112186,0.638374
236,0,30,7602,0,30,0.108137,0.069139,0.711336
237,0,30,7602,0,30,-0.138398,0.064815,0.713725
238,0,30,7602,0,30,0.009851,0.066993,0.612433
239,0,30,7602,0,30,-0.158949,0.029839,0.837081
240,0,30,7602,0,30,-0.330219,0.059160,0.933999
242,0,30,7602,0,30,-0.184184,0.066395,0.663096
246,0,30,7602,0,30,-0.582676,0.093883,1.711384
255,0,30,7602,0,30,-0.220914,0.030072,0.939408
257,1,31,7602,1,31,0.021024,0.068508,0.716323
259,1,31,7602,2,32,-0.236841,-0.060049,0.975352
260,1,31,7602,2,32,-0.242559,-0.019531,0.943836
261,1,31,7602,2,32,-0.290404,-0.047809,0.946606
262,0,30,7602,2,32,-0.000752,0.064936,0.689820
266,11,41,7602,2,32,-0.252423,-0.066069,0.830613
267,1,31,7602,2,32,-0.268315,-0.062527,0.920454
271,1,31,7602,2,32,0.301330,0.022009,0.897313
274,1,31,7602,2,32,0.196694,0.064628,0.738805
275,1,31,7602,2,32,0.127951,0.076332,0.714049
276,1,31,7602,2,32,0.241784,0.028025,0.837242
277,1,31,7602,2,32,0.224901,0.031656,0.869181
278,1,31,7602,2,32,0.035264,0.096073,0.518002
279,0,30,7602,2,32,0.040258,0.089688,0.570900
