mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.056194,-0.025189,-0.137701
21,107,1512795996.056600,64,48,1001,-0.074791,-0.032964,-0.184341
20,105,1512795995.653100,64,48,1003,-0.070430,-0.030666,-0.174048
23,111,1512795996.871600,64,48,1004,-0.052870,-0.026229,-0.162666
49,154,1512796005.511600,64,48,926,-0.022636,-0.033219,-0.147220
48,153,1512796005.315900,64,48,968,-0.023640,-0.026696,-0.138072
50,156,1512796005.917500,64,48,954,-0.022280,-0.015255,-0.129337
58,172,1512796009.117800,64,48,1000,-0.009825,-0.000778,0.012339
63,180,1512796010.743800,64,48,1002,-0.001707,0.002583,0.021377
64,182,1512796011.143500,64,48,1002,-0.003089,0.002646,0.017743
65,184,1512796011.535000,64,48,1003,-0.004718,0.001102,0.011517
74,211,1512796017.075800,64,48,1000,-0.030206,-0.026992,-0.140653
79,220,1512796018.846600,64,48,1003,-0.006705,0.001231,0.014298
