mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
18,101,1512795994.838800,64,48,1003,-0.062884,-0.029595,-0.158297
21,107,1512795996.056600,64,48,1001,-0.083654,-0.039729,-0.211093
20,105,1512795995.653100,64,48,1003,-0.079389,-0.036654,-0.198837
25,116,1512795997.892700,64,48,1003,-0.036916,-0.019886,-0.121714
23,111,1512795996.871600,64,48,1004,-0.059039,-0.030316,-0.186200
26,118,1512795998.294000,64,48,1003,-0.024907,-0.014701,-0.085238
29,124,1512795999.503100,64,48,1002,-0.003525,-0.001687,-0.007687
32,127,1512796000.110600,64,48,1001,-0.000283,0.003801,0.017400
