mnID,nmFrameID,TimeStamp,mnGridCols,mnGridRows,KeyPoints,PoseX,PoseY,PoseZ
0,0,1512795974.330300,64,48,1893,0.000000,0.000000,0.000000
45,148,1512796004.303200,64,48,992,-0.006499,-0.020238,-0.105928
18,101,1512795994.838800,64,48,1003,-0.059641,-0.029107,-0.156213
21,107,1512795996.056600,64,48,1001,-0.080508,-0.039009,-0.207169
20,105,1512795995.653100,64,48,1003,-0.075843,-0.036047,-0.195906
25,116,1512795997.892700,64,48,1003,-0.034924,-0.018670,-0.119763
23,111,1512795996.871600,64,48,1004,-0.055331,-0.029326,-0.183446
26,118,1512795998.294000,64,48,1003,-0.022999,-0.014288,-0.083909
43,145,1512796003.705400,64,48,989,-0.007196,-0.018249,-0.088625
34,131,1512796000.901600,64,48,1002,0.001366,-0.002104,0.009218
38,138,1512796002.294700,64,48,1001,-0.005983,-0.007050,-0.030944
41,143,1512796003.293500,64,48,993,-0.009874,-0.015894,-0.081571
